txNomeParlamentar,vlrDocumento
Bibo Nunes,39753.13
David Soares,36439.81
André de Paula,33344.63
Zeca Dirceu,27040.15
João Carlos Bacelar,25031.7
Claudio Cajado,23383.78
Eduardo Cury,23119.99
Ricardo Guidi,22415.46
Rubens Bueno,22355.11
Abou Anni,22137.56
Luiz Antônio Corrêa,21959.49
Vanderlei Macris,21066.52
Wilson Santiago,19939.920000000002
Celso Russomanno,19753.54
General Peternelli,19615.91
Marcos Soares,19411.08
Alexandre Frota,19271.45
Guiga Peixoto,19240.89
Luizianne Lins,18799.74
Coronel Chrisóstomo,18441.77
Sargento Fahur,16028.34
Afonso Motta,15526.09
Pedro Uczai,15483.93
Pastor Eurico,14649.43
General Girão,13765.82
Eduardo Bismarck,13744.83
João Marcelo Souza,13693.42
Dr. Zacharias Calil,13528.38
Jorge Solla,13086.01
Otto Alencar Filho,12946.27
Professor Joziel,12907.68
Zé Carlos,12857.96
Marcelo Nilo,12730.01
Guilherme Derrite,12405.44
Schiavinato,12206.42
Aelton Freitas,12129.2
Jorge Braz,12004.54
Ricardo Silva,11751.51
Rogério Peninha Mendonça,11235.4
Gonzaga Patriota,11003.55
Coronel Tadeu,10850.35
Célio Moura,10703.24
Raimundo Costa,10509.99
Márcio Biolchi,10034.67
Christiane de Souza Yared,9976.17
Jerônimo Goergen,9434.54
Carlos Gomes,9404.0
Leda Sadala,9348.42
Lucio Mosquini,9155.98
Eduardo Barbosa,9144.7
Alexandre Padilha,9069.29
Alexandre Serfiotis,8628.33
Professora Rosa Neide,8387.73
Carlos Chiodini,8309.5
Leônidas Cristino,8222.77
Giovani Cherini,8191.09
Vermelho,8091.16
Felício Laterça,8078.59
Osmar Terra,7964.75
Afonso Hamm,7855.9
Christino Aureo,7769.9
Odair Cunha,7745.37
Vitor Lippi,7703.68
Elcione Barbalho,7650.81
Nilto Tatto,7593.63
Reinhold Stephanes Junior,7589.88
André Ferreira,7426.46
Igor Kannário,7357.49
Gelson Azevedo,7162.68
Léo Motta,6634.87
Bohn Gass,6333.87
Nelson Pellegrino,6256.56
Vitor Hugo,6209.17
Policial Katia Sastre,6194.96
Filipe Barros,6183.41
Pedro Westphalen,6153.51
Geninho Zuliani,6148.76
Juarez Costa,6119.54
Luizão Goulart,5954.02
Mauro Lopes,5856.41
Danilo Forte,5761.93
Benedita da Silva,5729.43
Nereu Crispim,5714.53
Paulão,5460.12
Pedro Augusto Palareti,5457.79
Paulo Guedes,5450.36
Capitão Augusto,5433.81
Afonso Florence,5406.97
Geovania de Sá,5370.81
Dr. Leonardo,5255.72
Gurgel,5219.64
Wladimir Garotinho,5204.79
Helio Lopes,5192.75
Domingos Sávio,5164.18
Frei Anastacio Ribeiro,5150.89
Beto Pereira,4985.3
Alencar Santana Braga,4959.77
Vinicius Farah,4819.56
Clarissa Garotinho,4801.74
Arlindo Chinaglia,4679.93
Valtenir Pereira,4657.9400000000005
Heitor Schuch,4608.36
Maurício Dziedricki,4351.83
Bia Kicis,4321.23
Angela Amin,4318.8
Rui Falcão,4308.04
Julian Lemos,4304.54
José Ricardo,4242.98
Miguel Lombardi,4240.47
Samuel Moreira,4204.6
Charles Fernandes,4202.21
Alê Silva,4184.74
Raul Henry,4169.81
Franco Cartafina,4152.38
Subtenente Gonzaga,4089.12
Nicoletti,3935.11
Pompeo de Mattos,3823.3
Professora Dayane Pimentel,3800.85
Sérgio Brito,3784.22
Marcon,3752.29
Dr. Jaziel,3724.94
Aroldo Martins,3670.69
Joseildo Ramos,3658.84
Alexis Fonteyne,3648.85
Marília Arraes,3583.63
Darcísio Perondi,3558.25
Zé Neto,3546.23
Pinheirinho,3516.93
Otoni de Paula,3463.08
Wolney Queiroz,3442.31
Fábio Trad,3408.26
Juninho do Pneu,3328.88
Marcelo Brum,3305.87
AJ Albuquerque,3299.25
Luiz Carlos Motta,3288.95
Dimas Fabiano,3285.95
Ruy Carneiro,3271.59
Jones Moura,3254.49
Rosangela Gomes,3242.74
Emidinho Madeira,3233.56
Gilson Marques,3217.96
Fabio Schiochet,3202.45
Sebastião Oliveira,3141.59
Darci de Matos,3084.09
Ossesio Silva,3037.62
Delegado Marcelo Freitas,2956.72
Paulo Teixeira,2933.86
Carlos Veras,2923.24
Dra. Vanda Milani,2915.0
Abílio Santana,2910.75
Bilac Pinto,2864.9
Dr. Luiz Ovando,2862.56
Eduardo Bolsonaro,2859.19
Idilvan Alencar,2845.82
Robério Monteiro,2844.46
Liziane Bayer,2817.47
Patrus Ananias,2797.04
Vicentinho,2793.95
Carla Zambelli,2729.33
Arthur Oliveira Maia,2685.07
Marcelo Calero,2656.87
Herculano Passos,2604.79
Glauber Braga,2577.16
Margarida Salomão,2543.65
Alceu Moreira,2543.47
Hélio Costa,2535.35
Paulo Ramos,2532.4
Flávio Nogueira,2475.15
Stefano Aguiar,2435.94
Zé Silva,2328.37
Totonho Lopes,2301.59
José Rocha,2286.21
Marreca Filho,2258.1
Alex Santana,2236.49
Nilson F. Stainsack,2209.47
Alcides Rodrigues,2188.59
Merlong Solano,2114.07
Tiago Dimas,2103.76
Milton Coelho,2097.15
Otavio Leite,2076.53
Neri Geller,1942.26
Enéias Reis,1895.35
Edilázio Júnior,1894.65
Olival Marques,1868.98
Lucas Gonzalez,1851.84
Joice Hasselmann,1791.13
Daniel Coelho,1751.03
Dagoberto Nogueira,1722.15
Luisa Canziani,1701.55
Arnaldo Jardim,1624.51
Lauriete,1568.45
Laerte Bessa,1451.39
Júlio Delgado,1381.29
Alan Rick,1357.6399999999999
Isnaldo Bulhões Jr.,1355.85
MAJOR OLIMPIO,1335.83
RONALDO LESSA,1321.86
Aécio Neves,1305.7
Márcio Jerry,1293.79
Silvia Cristina,1244.59
João Maia,1225.28
JUNIOR CORINGA,1213.58
Osmar Serraglio,1212.3600000000001
Perpétua Almeida,1172.66
Euclydes Pettersen,1136.46
Vavá Martins,1128.02
Newton Cardoso Jr,1123.54
Julio Cesar Ribeiro,1017.1700000000001
Gilberto Abramo,1009.79
Heitor Freire,985.21
Henrique Fontana,980.46
Lídice da Mata,972.16
Josivaldo JP,950.37
JOSÉ CARLOS ALELUIA,931.9100000000001
Rogério Correia,926.0
Renata Abreu,918.85
Gil Cutrim,891.8000000000001
Jandira Feghali,888.92
Giovani Feltes,870.18
Delegado Pablo,844.79
Fausto Pinato,801.82
RONALDO BENEDET,798.73
Caroline de Toni,775.49
Paulo Magalhães,761.65
José Medeiros,749.16
Charlles Evangelista,748.5899999999999
Chiquinho Brazão,720.86
José Nunes,715.26
Augusto Coutinho,683.02
Aline Sleutjes,671.62
Daniel Almeida,642.16
Eduardo Costa,619.98
Flordelis,615.5600000000001
Eli Borges,607.79
André Janones,600.97
NELSON MEURER,595.0
CORONEL BITTENCOURT,590.24
Fernando Borja,575.76
Santini,569.21
MARCONDES GADELHA,564.43
MARCOS ROGÉRIO,545.9
Lucas Redecker,544.12
FLORIANO PESARO,536.02
Camilo Capiberibe,518.46
JOSÉ CARLOS ARAÚJO,516.99
Diego Andrade,510.95
Pedro Augusto Bezerra,509.70000000000005
Ricardo Teobaldo,505.63
Tabata Amaral,498.59000000000003
Alexandre Leite,469.15999999999997
Nelson Barbudo,467.32
Magda Mofatto,438.09000000000003
Júnior Mano,436.01
Hermes Parcianello,411.7
JORGE TADEU MUDALEN,410.61
MISSIONÁRIO JOSÉ OLIMPIO,402.9
Leo de Brito,396.51
Airton Faleiro,387.2
Dr. Luiz Antonio Teixeira Jr.,372.34999999999997
MARFIZA GALVÃO,369.34
Mário Negromonte Jr.,368.94
JÚLIA MARINHO,365.29
CELSO JACOB,364.82
Waldenor Pereira,360.05
DÉCIO LIMA,349.53000000000003
Eros Biondini,342.61
Bosco Saraiva,342.03
Wellington Roberto,340.86
JOSÉ MENTOR,335.51
Laura Carneiro,333.3
Pedro Lupion,326.56
Igor Timo,324.4
JOÃO PAULO KLEINÜBING,323.58
Ricardo Pericar,315.65999999999997
Milton Vieira,314.98
LUIZ FERNANDO FARIA,314.4
Lourival Gomes,312.81
Sanderson,309.1
José Airton Félix Cirilo,286.55
Professora Dorinha Seabra Rezende,285.7
SILVIO TORRES,283.55
RONALDO NOGUEIRA,275.0
Major Fabiana,267.03999999999996
Daniel Freitas,264.43
LUIZ CARLOS RAMOS,262.6
Norma Pereira,246.7
Francisco Jr.,245.51
Silvio Costa Filho,245.47
SIMÃO SESSIM,238.05
MAURO MARIANI,236.98
VICENTE CANDIDO,231.73
Fernanda Melchionna,225.67000000000002
Chico D'Angelo,220.18
Coronel Armando,216.4
Daniel Silveira,210.95
Luciano Bivar,200.24
Joaquim Passarinho,200.0
Elias Vaz,198.06
JORGE CÔRTE REAL,187.85000000000002
GUSTAVO MITRE,183.7
LUIS CARLOS HEINZE,179.26
ANTONIO IMBASSAHY,176.0
JUNIOR MARRECA,164.2
Boca Aberta,156.34
Jesus Sérgio,151.32
BENITO GAMA,146.72
JOSE STÉDILE,145.96
Assis Carvalho,145.87
Paulo Pimenta,142.6
Alice Portugal,137.0
Fábio Ramalho,136.47
Jefferson Campos,132.98
Luiz Lima,132.26999999999998
Bia Cavassa,131.68
Vander Loubet,125.66
JOÃO FERNANDO COUTINHO,120.34
Vilson da Fetaemg,120.19999999999999
TONINHO PINHEIRO,111.71000000000001
Adriano do Baldy,110.99
MARIA HELENA,110.97
BENJAMIN MARANHÃO,110.77
Jaqueline Cassol,104.0
Marlon Santos,100.0
FELIPE MAIA,95.78
Daniela do Waguinho,95.5
Bosco Costa,89.97
Leur Lomanto Júnior,89.21
Rodrigo de Castro,83.28
Sergio Souza,83.0
LUIZ SÉRGIO,76.11
Rachel Marques,75.82
Célio Studart,75.01
Carmen Zanotto,70.21
Dr. Frederico,65.78
Márcio Marinho,65.78
Joenia Wapichana,62.62
WEVERTON ROCHA,62.35
JORGINHO MELLO,62.35
Severino Pessoa,62.34
Capitão Fábio Abreu,58.760000000000005
Pedro Dalua,56.5
Fábio Mitidieri,53.45
Margarete Coelho,53.25
TAKAYAMA,52.589999999999996
Pedro Lucas Fernandes,51.5
Fábio Henrique,50.5
GOULART,50.05
LEONARDO QUINTÃO,49.51
PEPE VARGAS,48.9
Bira do Pindaré,44.21
Ricardo Izar,44.1
MARCO MAIA,44.0
Túlio Gadêlha,35.5
Áurea Carolina,35.4
WILSON BESERRA,32.9
MARCUS PESTANA,30.8
FLAVINHO,27.81
VALDIR COLATTO,26.0
Enio Verri,21.29
Pastor Gil,21.02
Vinicius Poit,9.56
