orgao,concedido_ou_parcial,nao_concedido
CEF – Caixa Econômica Federal,0.44,0.56
GSI-PR – Gabinete de Segurança Institucional da Presidência da República,0.49,0.51
BB – Banco do Brasil S.A.,0.55,0.45
AGU – Advocacia-Geral da União,0.57,0.43
MRE – Ministério das Relações Exteriores,0.65,0.35
TRANSPETRO - Petrobras Transporte S.A,0.66,0.34
FINEP – Financiadora de Estudos e Projetos,0.67,0.33
CEX – Comando do Exército,0.68,0.32
BACEN – Banco Central do Brasil,0.7,0.3
DPF – Departamento de Polícia Federal,0.71,0.29
