name,valence,popularity
Senjutsu,0.466,57
Stratego,0.465,57
The Writing On The Wall,0.566,63
Lost In A Lost World,0.206,56
Days Of Future Past,0.476,59
The Time Machine,0.316,54
Darkest Hour,0.162,54
Death Of The Celts,0.26,53
The Parchment,0.212,54
Hell On Earth,0.0628,54
Churchill’s Speech ,0.0394,34
For The Greater Good Of God ,0.159,33
The Wickerman ,0.138,32
Sign Of The Cross ,0.134,32
Flight Of Icarus ,0.229,33
Fear Of The Dark ,0.102,32
If Eternity Should Fail ,0.119,32
Speed of Light ,0.165,31
Death or Glory ,0.125,30
The Red and the Black ,0.301,32
The Great Unknown ,0.0569,28
The Book of Souls ,0.221,31
If Eternity Should Fail,0.149,45
Speed of Light,0.334,52
The Great Unknown,0.0702,40
The Red and the Black,0.377,49
When the River Runs Deep,0.393,38
The Book of Souls,0.359,43
Death or Glory,0.316,40
Shadows of the Valley,0.284,38
Tears of a Clown,0.503,42
The Man of Sorrows,0.291,38
Empire of the Clouds,0.19,46
Satellite 15 ,0.163,28
The Final Frontier ,0.507,33
Satellite 15,0.435,7
El Dorado,0.436,8
Mother Of Mercy,0.364,5
Coming Home,0.467,14
The Alchemist,0.64,6
Isle Of Avalon,0.0739,5
Starblind,0.217,5
The Talisman,0.16,7
The Man Who Would Be King,0.273,5
When The Wild Wind Blows,0.228,10
Satellite 15.....The Final Frontier ,0.411,39
El Dorado ,0.504,40
Mother of Mercy ,0.37,37
Coming Home ,0.5,44
The Alchemist ,0.545,37
Isle of Avalon ,0.065,35
Starblind ,0.198,35
The Talisman ,0.153,38
The Man Who Would Be King ,0.285,36
When the Wild Wind Blows ,0.246,46
Churchill's Speech ,0.105,31
Can I Play With Madness ,0.481,31
Different World ,0.602,45
These Colours Don't Run ,0.228,43
Brighter Than a Thousand Suns ,0.266,40
The Pilgrim ,0.541,39
The Longest Day ,0.337,40
Out of the Shadows ,0.288,37
The Reincarnation of Benjamin Breeg ,0.144,44
For the Greater Good of God ,0.3,50
Lord of Light ,0.0485,37
The Legacy ,0.15,38
Dance Of Death ,0.152,31
Lord Of The Flies ,0.142,28
Wildest Dreams ,0.57,39
Rainmaker ,0.539,46
No More Lies ,0.214,44
Montségur ,0.215,39
Dance of Death ,0.296,56
Gates of Tomorrow ,0.336,37
New Frontier ,0.521,37
Paschendale ,0.188,44
Face in the Sand ,0.214,38
Age of Innocence ,0.239,35
Journeyman ,0.308,46
Children Of The Damned ,0.256,19
Phantom Of The Opera ,0.201,19
Total Eclipse ,0.154,26
Intro ,0.108,17
Intro (Arthur's Farewell) ,0.101,36
Ghost Of The Navigator ,0.168,40
2 Minutes To Midnight ,0.0876,39
Dream Of Mirrors ,0.242,37
The Number Of The Beast ,0.117,37
Sanctuary ,0.0536,32
Run To The Hills ,0.0846,39
The Wicker Man ,0.296,59
Ghost of the Navigator ,0.36,52
Brave New World ,0.355,54
Blood Brothers ,0.444,57
The Mercenary ,0.512,42
Dream of Mirrors ,0.35,44
The Fallen Angel ,0.319,41
The Nomad ,0.404,42
Out of the Silent Planet ,0.335,49
The Thin Line Between Love and Hate ,0.312,42
Futureal ,0.706,41
The Angel and the Gambler ,0.376,35
Lightning Strikes Twice ,0.385,35
The Clansman ,0.177,50
When Two Worlds Collide ,0.346,34
The Educated Fool ,0.244,34
Don't Look to the Eyes of a Stranger ,0.473,36
Como Estais Amigos ,0.148,37
Sign of the Cross ,0.0903,42
Lord of the Flies ,0.331,37
Man on the Edge ,0.168,44
Fortunes of War ,0.256,36
Look for the Truth ,0.093,35
The Aftermath ,0.224,33
Judgement of Heaven ,0.462,34
Blood on the World's Hands ,0.379,32
The Edge of Darkness ,0.123,33
2 AM ,0.187,34
The Unbeliever ,0.427,31
Be Quick Or Be Dead ,0.387,25
From Here To Eternity ,0.354,24
Afraid To Shoot Strangers ,0.189,29
Bring Your Daughter...To The Slaughter ,0.37,25
Be Quick or Be Dead ,0.624,55
From Here to Eternity ,0.498,47
Afraid to Shoot Strangers ,0.366,56
Fear Is the Key ,0.52,43
Childhood's End ,0.328,44
Wasting Love ,0.29,66
The Fugitive ,0.578,42
Chains of Misery ,0.382,42
The Apparition ,0.693,40
Judas Be My Guide ,0.51,44
Weekend Warrior ,0.759,41
Fear of the Dark ,0.227,72
Tailgunner ,0.577,40
Holy Smoke ,0.474,45
No Prayer for the Dying ,0.583,44
Public Enema Number One ,0.6,36
Fates Warning ,0.139,34
The Assassin ,0.599,35
Run Silent Run Deep ,0.406,36
Hooks in You ,0.544,34
Bring Your Daughter... to the Slaughter ,0.532,51
Mother Russia ,0.39,42
Moonchild ,0.244,50
Infinite Dreams ,0.659,48
Can I Play with Madness ,0.631,58
The Evil That Men Do ,0.31,57
Seventh Son of a Seventh Son ,0.0948,53
The Prophecy ,0.21,44
The Clairvoyant ,0.467,48
Only the Good Die Young ,0.275,46
Caught Somewhere in Time ,0.343,52
Wasted Years ,0.492,66
Sea of Madness ,0.276,45
Heaven Can Wait ,0.476,46
The Loneliness of the Long Distance Runner ,0.447,45
Stranger in a Strange Land ,0.514,51
Deja Vu ,0.563,44
Alexander the Great (356,0.288,52
Intro (Churchill's Speech) ,0.418,35
Aces High ,0.756,63
2 Minutes to Midnight ,0.595,66
Losfer Words (Big 'Orra) ,0.579,45
Flash of the Blade ,0.653,47
The Duellists ,0.633,45
Back in the Village ,0.551,44
Powerslave ,0.331,55
Rime of the Ancient Mariner ,0.143,55
Where Eagles Dare ,0.467,54
Revelations ,0.438,53
Flight of Icarus ,0.343,57
Die with Your Boots On ,0.537,47
The Trooper ,0.669,74
Still Life ,0.173,44
Quest for Fire ,0.583,43
Sun and Steel ,0.643,43
To Tame a Land ,0.229,44
Invaders ,0.684,48
Children of the Damned ,0.363,56
The Prisoner ,0.617,53
22 Acacia Avenue ,0.544,53
The Number of the Beast ,0.268,69
Run to the Hills ,0.458,72
Gangland ,0.448,45
Hallowed Be Thy Name ,0.3,67
The Ides of March ,0.333,42
Wrathchild ,0.782,52
Murders in the Rue Morgue ,0.425,44
Another Life ,0.666,41
Genghis Khan ,0.557,42
Innocent Exile ,0.652,40
Killers ,0.395,51
Prodigal Son ,0.317,40
Purgatory ,0.531,43
Drifter ,0.475,39
Prowler ,0.32,53
Remember Tomorrow ,0.548,45
Running Free ,0.764,52
Phantom of the Opera ,0.228,59
Transylvania ,0.214,51
Strange World ,0.194,46
Charlotte the Harlot ,0.463,42
Iron Maiden ,0.277,50
