name,valence,year
Senjutsu,0.466,2021
Stratego,0.465,2021
The Writing On The Wall,0.566,2021
Lost In A Lost World,0.206,2021
Days Of Future Past,0.476,2021
The Time Machine,0.316,2021
Darkest Hour,0.162,2021
Death Of The Celts,0.26,2021
The Parchment,0.212,2021
Hell On Earth,0.0628,2021
Churchill’s Speech ,0.0394,2020
The Wickerman ,0.138,2020
If Eternity Should Fail ,0.119,2017
Speed of Light ,0.165,2017
Death or Glory ,0.125,2017
The Red and the Black ,0.301,2017
The Great Unknown ,0.0569,2017
The Book of Souls ,0.221,2017
If Eternity Should Fail,0.149,2015
Speed of Light,0.334,2015
The Great Unknown,0.0702,2015
The Red and the Black,0.377,2015
When the River Runs Deep,0.393,2015
The Book of Souls,0.359,2015
Death or Glory,0.316,2015
Shadows of the Valley,0.284,2015
Tears of a Clown,0.503,2015
The Man of Sorrows,0.291,2015
Empire of the Clouds,0.19,2015
Satellite 15 ,0.163,2012
The Final Frontier ,0.507,2012
Satellite 15,0.435,2010
El Dorado,0.436,2010
Mother Of Mercy,0.364,2010
Coming Home,0.467,2010
The Alchemist,0.64,2010
Isle Of Avalon,0.0739,2010
Starblind,0.217,2010
The Talisman,0.16,2010
The Man Who Would Be King,0.273,2010
When The Wild Wind Blows,0.228,2010
Satellite 15.....The Final Frontier ,0.411,2010
El Dorado ,0.504,2010
Mother of Mercy ,0.37,2010
Coming Home ,0.5,2010
The Alchemist ,0.545,2010
Isle of Avalon ,0.065,2010
Starblind ,0.198,2010
The Talisman ,0.153,2010
The Man Who Would Be King ,0.285,2010
When the Wild Wind Blows ,0.246,2010
Churchill's Speech ,0.105,2009
Different World ,0.602,2006
These Colours Don't Run ,0.228,2006
Brighter Than a Thousand Suns ,0.266,2006
The Pilgrim ,0.541,2006
The Longest Day ,0.337,2006
Out of the Shadows ,0.288,2006
The Reincarnation of Benjamin Breeg ,0.144,2006
For the Greater Good of God ,0.3,2006
Lord of Light ,0.0485,2006
The Legacy ,0.15,2006
Wildest Dreams ,0.57,2003
Rainmaker ,0.539,2003
No More Lies ,0.214,2003
Montségur ,0.215,2003
Dance of Death ,0.296,2003
Gates of Tomorrow ,0.336,2003
New Frontier ,0.521,2003
Paschendale ,0.188,2003
Face in the Sand ,0.214,2003
Age of Innocence ,0.239,2003
Journeyman ,0.308,2003
Total Eclipse ,0.154,2002
Intro ,0.108,2002
Intro (Arthur's Farewell) ,0.101,2002
Sanctuary ,0.0536,2002
The Wicker Man ,0.296,2000
Ghost of the Navigator ,0.36,2000
Brave New World ,0.355,2000
Blood Brothers ,0.444,2000
The Mercenary ,0.512,2000
Dream of Mirrors ,0.35,2000
The Fallen Angel ,0.319,2000
The Nomad ,0.404,2000
Out of the Silent Planet ,0.335,2000
The Thin Line Between Love and Hate ,0.312,2000
Futureal ,0.706,1998
The Angel and the Gambler ,0.376,1998
Lightning Strikes Twice ,0.385,1998
The Clansman ,0.177,1998
When Two Worlds Collide ,0.346,1998
The Educated Fool ,0.244,1998
Don't Look to the Eyes of a Stranger ,0.473,1998
Como Estais Amigos ,0.148,1998
Sign of the Cross ,0.0903,1995
Lord of the Flies ,0.331,1995
Man on the Edge ,0.168,1995
Fortunes of War ,0.256,1995
Look for the Truth ,0.093,1995
The Aftermath ,0.224,1995
Judgement of Heaven ,0.462,1995
Blood on the World's Hands ,0.379,1995
The Edge of Darkness ,0.123,1995
2 AM ,0.187,1995
The Unbeliever ,0.427,1995
Bring Your Daughter...To The Slaughter ,0.37,1993
Be Quick or Be Dead ,0.624,1992
From Here to Eternity ,0.498,1992
Afraid to Shoot Strangers ,0.366,1992
Fear Is the Key ,0.52,1992
Childhood's End ,0.328,1992
Wasting Love ,0.29,1992
The Fugitive ,0.578,1992
Chains of Misery ,0.382,1992
The Apparition ,0.693,1992
Judas Be My Guide ,0.51,1992
Weekend Warrior ,0.759,1992
Fear of the Dark ,0.227,1992
Tailgunner ,0.577,1990
Holy Smoke ,0.474,1990
No Prayer for the Dying ,0.583,1990
Public Enema Number One ,0.6,1990
Fates Warning ,0.139,1990
The Assassin ,0.599,1990
Run Silent Run Deep ,0.406,1990
Hooks in You ,0.544,1990
Bring Your Daughter... to the Slaughter ,0.532,1990
Mother Russia ,0.39,1990
Moonchild ,0.244,1988
Infinite Dreams ,0.659,1988
Can I Play with Madness ,0.631,1988
The Evil That Men Do ,0.31,1988
Seventh Son of a Seventh Son ,0.0948,1988
The Prophecy ,0.21,1988
The Clairvoyant ,0.467,1988
Only the Good Die Young ,0.275,1988
Caught Somewhere in Time ,0.343,1986
Wasted Years ,0.492,1986
Sea of Madness ,0.276,1986
Heaven Can Wait ,0.476,1986
The Loneliness of the Long Distance Runner ,0.447,1986
Stranger in a Strange Land ,0.514,1986
Deja Vu ,0.563,1986
Alexander the Great (356,0.288,1986
Intro (Churchill's Speech) ,0.418,1985
Aces High ,0.756,1984
2 Minutes to Midnight ,0.595,1984
Losfer Words (Big 'Orra) ,0.579,1984
Flash of the Blade ,0.653,1984
The Duellists ,0.633,1984
Back in the Village ,0.551,1984
Powerslave ,0.331,1984
Rime of the Ancient Mariner ,0.143,1984
Where Eagles Dare ,0.467,1983
Revelations ,0.438,1983
Flight of Icarus ,0.343,1983
Die with Your Boots On ,0.537,1983
The Trooper ,0.669,1983
Still Life ,0.173,1983
Quest for Fire ,0.583,1983
Sun and Steel ,0.643,1983
To Tame a Land ,0.229,1983
Invaders ,0.684,1982
Children of the Damned ,0.363,1982
The Prisoner ,0.617,1982
22 Acacia Avenue ,0.544,1982
The Number of the Beast ,0.268,1982
Run to the Hills ,0.458,1982
Gangland ,0.448,1982
Hallowed Be Thy Name ,0.3,1982
The Ides of March ,0.333,1981
Wrathchild ,0.782,1981
Murders in the Rue Morgue ,0.425,1981
Another Life ,0.666,1981
Genghis Khan ,0.557,1981
Innocent Exile ,0.652,1981
Killers ,0.395,1981
Prodigal Son ,0.317,1981
Purgatory ,0.531,1981
Drifter ,0.475,1981
Prowler ,0.32,1980
Remember Tomorrow ,0.548,1980
Running Free ,0.764,1980
Phantom of the Opera ,0.228,1980
Transylvania ,0.214,1980
Strange World ,0.194,1980
Charlotte the Harlot ,0.463,1980
Iron Maiden ,0.277,1980
